Artist,Title,Estimate,Price,Date,URL
"Margaux, 1er cru classé",Above 5 bottles per lot,None,USD 483,,https://www.christies.com/en/lot/lot-1260810?ldp_breadcrumb=back
"Margaux, 1er cru classé",Above 6 bottles per lot,None,USD 805,,https://www.christies.com/en/lot/lot-1260811?ldp_breadcrumb=back
"Margaux, 1er cru classé",Above 9 bottles per lot,None,USD 920,,https://www.christies.com/en/lot/lot-1260812?ldp_breadcrumb=back
"Margaux, 1er cru classé",Above 14 bottles per lot,None,"USD 1,955",,https://www.christies.com/en/lot/lot-1260813?ldp_breadcrumb=back
"Fargues (Sauternes), 1er cru classé",1 dozen bottles per lot,None,USD 863,,https://www.christies.com/en/lot/lot-1260814?ldp_breadcrumb=back
"Sauternes, 1er grand cru classé",Above 1 bottle and 7 half bottles per lot,None,"USD 1,380",,https://www.christies.com/en/lot/lot-1260815?ldp_breadcrumb=back
Rhône. Paul Jaboulet Aîné,2 bottles per lot,None,USD 207,,https://www.christies.com/en/lot/lot-1260816?ldp_breadcrumb=back
Rhône,1 dozen bottles per lot,None,USD 978,,https://www.christies.com/en/lot/lot-1260817?ldp_breadcrumb=back
Rhône. Paul Jaboulet Aîné,1 dozen bottles per lot,None,"USD 1,955",,https://www.christies.com/en/lot/lot-1260818?ldp_breadcrumb=back
Napa Valley,1 dozen bottles per lot,None,"USD 1,610",,https://www.christies.com/en/lot/lot-1260819?ldp_breadcrumb=back
Napa Valley,6 bottles per lot,None,USD 748,,https://www.christies.com/en/lot/lot-1260820?ldp_breadcrumb=back
Château Lafite-Rothschild--Vintage 1899,1 bottle per lot,None,"USD 1,610",,https://www.christies.com/en/lot/lot-1260821?ldp_breadcrumb=back
"Pauillac, 1er cru classé",4 bottles per lot,None,"USD 1,495",,https://www.christies.com/en/lot/lot-1260822?ldp_breadcrumb=back
"Saint-Estèphe, 2me cru classé",1 dozen bottles per lot,None,USD 978,,https://www.christies.com/en/lot/lot-1260823?ldp_breadcrumb=back
"Pauillac, 5me cru classé.",1 dozen bottles per lot,None,USD 322,,https://www.christies.com/en/lot/lot-1260824?ldp_breadcrumb=back
"Pauillac, 1er cru classé",1 dozen bottles per lot,None,"USD 1,380",,https://www.christies.com/en/lot/lot-1260825?ldp_breadcrumb=back
"Pauillac, 1er cru classé",1 dozen bottles per lot,None,"USD 4,830",,https://www.christies.com/en/lot/lot-1260826?ldp_breadcrumb=back
Château Latour--Vintage 1970,1 dozen bottles per lot,None,"USD 4,600",,https://www.christies.com/en/lot/lot-1260827?ldp_breadcrumb=back
"Pauillac, 1er cru classé",1 dozen bottles per lot,None,"USD 1,495",,https://www.christies.com/en/lot/lot-1260828?ldp_breadcrumb=back
Château Mouton-Rothschild--Vintage 1970,1 dozen bottles per lot,None,"USD 1,840",,https://www.christies.com/en/lot/lot-1260829?ldp_breadcrumb=back
Château Mouton-Rothschild--Vintage 1970,1 dozen bottles per lot,None,"USD 1,725",,https://www.christies.com/en/lot/lot-1260830?ldp_breadcrumb=back
"Margaux, 1er cru classé",1 double-magnum per lot,None,USD 575,,https://www.christies.com/en/lot/lot-1260831?ldp_breadcrumb=back
"Saint-Estèphe, 2me cru classé",1 impériale per lot,None,USD 437,,https://www.christies.com/en/lot/lot-1260832?ldp_breadcrumb=back
"Pauillac, 5me cru classé",1 double-magnum per lot,None,USD 345,,https://www.christies.com/en/lot/lot-1260833?ldp_breadcrumb=back
"Pauillac, 5me cru classé",1 dozen bottles per lot,None,USD 253,,https://www.christies.com/en/lot/lot-1260834?ldp_breadcrumb=back
"Margaux, 1er cru classé",1 dozen bottles per lot,None,"USD 1,955",,https://www.christies.com/en/lot/lot-1260835?ldp_breadcrumb=back
"Pauillac, 1er cru classé",6 bottles per lot,None,"USD 2,530",,https://www.christies.com/en/lot/lot-1260836?ldp_breadcrumb=back
"Pauillac, 1er cru classé",1 dozen bottles per lot,None,"USD 5,750",,https://www.christies.com/en/lot/lot-1260837?ldp_breadcrumb=back
"Pomerol, cru exceptionnel",5 bottles per lot,None,"USD 4,600",,https://www.christies.com/en/lot/lot-1260838?ldp_breadcrumb=back
"Ludon (Médoc), 3me cru classé",1 dozen bottles per lot,None,USD 978,,https://www.christies.com/en/lot/lot-1260839?ldp_breadcrumb=back
Château La Lagune--Vintage 1982,1 dozen bottles per lot,None,USD 920,,https://www.christies.com/en/lot/lot-1260840?ldp_breadcrumb=back
"Pauillac, 5me cru classé",1 dozen bottles per lot,None,USD 633,,https://www.christies.com/en/lot/lot-1260841?ldp_breadcrumb=back
"Pauillac, 1er cru classé",1 dozen bottles per lot,None,"USD 2,070",,https://www.christies.com/en/lot/lot-1260842?ldp_breadcrumb=back
Château Mouton-Rothschild--Vintage 1985,1 dozen bottles per lot,None,"USD 2,070",,https://www.christies.com/en/lot/lot-1260843?ldp_breadcrumb=back
"Saint-Estèphe, 2me cru classé",1 dozen bottles per lot,None,"USD 1,265",,https://www.christies.com/en/lot/lot-1260844?ldp_breadcrumb=back
"Ludon (Médoc), 3me cru classé",1 dozen bottles per lot,None,USD 518,,https://www.christies.com/en/lot/lot-1260845?ldp_breadcrumb=back
Château La Lagune--Vintage 1985,1 dozen bottles per lot,None,USD 483,,https://www.christies.com/en/lot/lot-1260846?ldp_breadcrumb=back
"Pauillac, 5me cru classé",1 dozen bottles per lot,None,"USD 1,380",,https://www.christies.com/en/lot/lot-1260847?ldp_breadcrumb=back
"Pauillac, 1er cru classé",1 dozen bottles per lot,None,"USD 3,220",,https://www.christies.com/en/lot/lot-1260848?ldp_breadcrumb=back
"Pomerol, cru exceptionnel",1 dozen bottles per lot,None,"USD 4,830",,https://www.christies.com/en/lot/lot-1260849?ldp_breadcrumb=back
"Circle of Jacopo Palma, Palma il Vecchio (1480-1528)",The Penitent Magdalene,"USD 2,500 - 3,500","USD 3,450",,https://www.christies.com/en/lot/lot-472794?ldp_breadcrumb=back
"Venetian School, early 16th Century",The Death of Cleopatra,"USD 8,000 - 12,000","USD 16,100",,https://www.christies.com/en/lot/lot-472795?ldp_breadcrumb=back
"Attributed to Giovanni Nanni, called Giovanni da Udine (1487-1564)","The Ceiling of a Room in the Domus Aurea , Rome, after the antique ( recto ); The Ground Plan of a Church ( verso )","USD 8,000 - 12,000","USD 11,500",,https://www.christies.com/en/lot/lot-472797?ldp_breadcrumb=back
"Attributed to Giulio Pippi, called Giulio Romano (c.1499-1546)",Head of a Satyr: Design for a Grotesque,"USD 2,000 - 4,000","USD 9,775",,https://www.christies.com/en/lot/lot-472798?ldp_breadcrumb=back
"Circle of Giulio Pippi, called Giulio Romano (c.1499-1546)",Putti harvesting Grapes from a Vine under an Arch decorated with a Bust of a Woman,"USD 2,000 - 3,000","USD 3,450",,https://www.christies.com/en/lot/lot-472799?ldp_breadcrumb=back
Giorgio Vasari* (1511-1574),A Vision of Saint Romuald,"USD 7,000 - 10,000","USD 12,650",,https://www.christies.com/en/lot/lot-472801?ldp_breadcrumb=back
Giovanni Battista Naldini* (1537-1591),"Portrait of Lucrezia del Fede, after Andrea del Sarto","USD 10,000 - 15,000","USD 27,600",,https://www.christies.com/en/lot/lot-472802?ldp_breadcrumb=back
Girolamo Macchietti* (1535-1592),A partly draped Nude seated on a Balustrade,"USD 12,000 - 15,000","USD 85,000",,https://www.christies.com/en/lot/lot-472804?ldp_breadcrumb=back
Alessandro Allori* (1535-1607),"A Youth with his Arms outstretched looking down, with a profile study ( recto ); Study of a Hand ( verso )","USD 2,000 - 3,000","USD 4,370",,https://www.christies.com/en/lot/lot-472807?ldp_breadcrumb=back
"Pellegrino Tibaldi, called Pellegrino da Bologna* (1527-1596)",A kneeling Woman and Child seen from behind,"USD 30,000 - 50,000","USD 27,600",,https://www.christies.com/en/lot/lot-472808?ldp_breadcrumb=back
Bartolomeo Passarotti* (1529-1592),Studies of Nudes and Putti,"USD 6,000 - 8,000","USD 6,325",,https://www.christies.com/en/lot/lot-472810?ldp_breadcrumb=back
Taddeo Zuccaro* (1529-1566),"A seated bearded Man in profile to the left, three standing figures beyond","USD 80,000 - 120,000","USD 211,500",,https://www.christies.com/en/lot/lot-472811?ldp_breadcrumb=back
Taddeo Zuccaro* (1529-1566),"A Centaur and a Nereid with Tritons, a Putto and a Dolphin ( recto ); A Centaur and a Triton in Combat, a Nereid and other marine Creatures ( verso )","USD 8,000 - 12,000","USD 11,500",,https://www.christies.com/en/lot/lot-472812?ldp_breadcrumb=back
"Bolognese School, 1550-1555",Alternative Designs for a Ceiling with Putti holding the Arms of Pope Julius III de Monte,"USD 2,000 - 3,000","USD 2,300",,https://www.christies.com/en/lot/lot-472813?ldp_breadcrumb=back
Federico Zuccaro* (c.1541-1609),"The Head of a young Man, turned to the right ( recto ); Two Heads of bearded Men ( verso )","USD 5,000 - 7,000","USD 9,775",,https://www.christies.com/en/lot/lot-472814?ldp_breadcrumb=back
"Andrea Mainardi, il Chiaveghino* (c.1573-1629)",The Assumption of the Virgin,"USD 2,000 - 3,000","USD 4,025",,https://www.christies.com/en/lot/lot-472816?ldp_breadcrumb=back
Giulio Campi* (c.1502-1572),Cupid bending a Bow ( recto ); Studies of Putti ( verso ),"USD 2,000 - 3,000","USD 2,760",,https://www.christies.com/en/lot/lot-472817?ldp_breadcrumb=back
"North Italian School, 16th Century","Studies of nude female Figures, of Cupid carving a Bow and of Heads","USD 3,000 - 5,000","USD 8,625",,https://www.christies.com/en/lot/lot-472818?ldp_breadcrumb=back
"Lombard School, 16th Century","Christ and the Centurion ( recto ); God the Father blessing a kneeling Figure and others, one holding a Book ( verso )","USD 1,500 - 2,000","USD 3,680",,https://www.christies.com/en/lot/lot-472819?ldp_breadcrumb=back
"Giovanni Battista Trotti, il Malosso* (1555-1619)",A draped Figure holding a Book and a Scroll,"USD 4,000 - 6,000","USD 5,520",,https://www.christies.com/en/lot/lot-472820?ldp_breadcrumb=back
Attributed to Aurelio Luini (1530-1593),Saint John the Evangelist,"USD 2,500 - 3,500","USD 5,175",,https://www.christies.com/en/lot/lot-472821?ldp_breadcrumb=back
"Gherardo Cibo*, active 2nd part of the 16th Century",Studies of Tubers of Figwort ( Scrophularia nodosa L. ),"USD 2,000 - 3,000","USD 10,925",,https://www.christies.com/en/lot/lot-472822?ldp_breadcrumb=back
Luca Cambiaso* (1527-1585),"A seated Sybil, seen from below","USD 6,000 - 8,000","USD 13,800",,https://www.christies.com/en/lot/lot-472824?ldp_breadcrumb=back
"Giovanni Battista Castello, il Bergamesco* (1509-1569)","Three Women under a Portico, with Jupiter as a Swan flying towards Leda","USD 3,000 - 5,000","USD 9,775",,https://www.christies.com/en/lot/lot-472825?ldp_breadcrumb=back
Bernardo Castello* (1557-1629),A classical Procession with Dignitaries and Soldiers carrying a Litter of Trophies,"USD 3,500 - 5,500","USD 6,325",,https://www.christies.com/en/lot/lot-472826?ldp_breadcrumb=back
"Lombard School, 17th Century",The Piet,"USD 2,000 - 4,000","USD 2,990",,https://www.christies.com/en/lot/lot-472827?ldp_breadcrumb=back
"Florentine School, second half of the 16th Century",An Elevation of the Faade of a Building,"USD 2,500 - 3,500","USD 5,750",,https://www.christies.com/en/lot/lot-472828?ldp_breadcrumb=back
"Bernardino Barbatelli, il Poccetti* (1548-1612)",A Seated Woman holding a Baby,"USD 4,000 - 6,000","USD 7,475",,https://www.christies.com/en/lot/lot-472830?ldp_breadcrumb=back
Giovanni Biliverti* (1576-1666),"The Archangel Gabriel pointing to the Madonna and Child, with Saints Andrew, Dominic, Bartholomew and Francis (?)","USD 4,000 - 6,000","USD 5,520",,https://www.christies.com/en/lot/lot-472831?ldp_breadcrumb=back
"Bernardino Barbatelli, il Poccetti* (1548-1612)",A kneeling Saint speared by three Tormentors ( recto and verso ),"USD 2,500 - 3,500","USD 4,830",,https://www.christies.com/en/lot/lot-472832?ldp_breadcrumb=back
"Attributed to Jacopo Chimenti, called Jacopo da Empoli (1554-1640)",The Entombment,"USD 3,000 - 4,000","USD 3,220",,https://www.christies.com/en/lot/lot-472833?ldp_breadcrumb=back
Francesco Vanni* (1563-1610),Drapery Studies: A kneeling Saint looking up; and Two Studies of seated Figures,"USD 3,000 - 5,000","USD 2,760",,https://www.christies.com/en/lot/lot-472835?ldp_breadcrumb=back
